Repeticion,MALEZA,Diametro,Tamaño,Tipo,Lugar,Nombre,Aplicado,,Diámetro (CM),Tamaño (CM2),Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,,Nombre,Aplicada,No Aplicada,n,% aplicado,% NO Aplicado,Diámetro promedio (cm),,Total aplicadas,Total No Aplicadas,n
3,30,15,176.63,HA,Surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,31,50,1962.5,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,32,,25,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,33,,25,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,34,,20,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,35,,20,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,36,,20,HA,Surco,Xanthium cavanillesii,0,,,,,,,,,,,,,,,,,,,,
3,37,20,314,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,38,10,78.5,HA,Entre surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
3,39,,25,G,Surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,40,10,78.5,HA,Entre surco,Bassia scoparia,0,,,,,,,,,,,,,,,,,,,,
3,41,,0,,,,,,,,,,,,,,,,,,,,,,,,
3,42,10,78.5,HA,Surco,Xanthium cavanillesii,1,,,,,,,,,,,,,,,,,,,,
3,43,20,314,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,44,,20,HA,Surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,45,,15,G,Entre surco,Maíz voluntario,1,,,,,,,,,,,,,,,,,,,,
3,46,20,314,HA,Surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,47,,0,,,,,,,,,,,,,,,,,,,,,,,,
3,48,,0,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,49,,0,HA,Surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
3,50,,0,HA,Entre surco,Bassia scoparia,1,,,,,,,,,,,,,,,,,,,,
